product_id;product_name;discounted_price;actual_price;discount_percentage;rating;rating_count;main_category;sub_category;product_type;savings;price_range;rating_category;review_count;sentiment_mean;pct_positif;pct_negatif;sentiment_label
B0B3RSDSZ3;"Fire-Boltt Phoenix Smart Watch with Bluetooth Calling 1.3"",120+ Sports Modes, 240*240 PX High Res with SpO2, Heart Rate Monitoring & IP67 Rating";1999;9999;80;4,3;27696;Electronics;WearableTechnology;SmartWatches;8000;Mid-range 500-2000;Bon;8;0,274539583;62,5;4,2;Positif
B08VB34KJ1;OPPO A74 5G (Fantastic Purple,6GB RAM,128GB Storage) with No Cost EMI/Additional Exchange Offers;15490;20990;26;4,2;32916;Electronics;Mobiles&Accessories;Smartphones;5500;Luxe >10000;Bon;8;0,56974;90;0;Positif
B09T39K9YL;Redmi Note 11 Pro + 5G (Stealth Black, 6GB RAM, 128GB Storage) | 67W Turbo Charge | 120Hz Super AMOLED Display | Additional Exchange Offers | Charger Included;19999;24999;20;3,9;25824;Electronics;Mobiles&Accessories;Smartphones;5000;Luxe >10000;Moyen;8;0,299207407;88,9;3,7;Positif
B08VF8V79P;Samsung Original 25W USB Travel Lightning Adapter for Cellular Phones, Black;1075;1699;37;4,4;7462;Electronics;Mobiles&Accessories;WallChargers;624;Mid-range 500-2000;Bon;8;0,44351;90;0;Positif
B08G28Z33M;realme Buds Classic Wired in Ear Earphones with Mic (Black);399;699;43;4;37817;Electronics;Headphones,Earbuds&Accessories;In-Ear;300;Budget <500;Moyen;8;0,38285;83,3;0;Positif
B09PNKXSKF;"Noise ColorFit Pulse Grand Smart Watch with 1.69"" HD Display, 60 Sports Modes, 150 Watch Faces, Spo2 Monitoring, Call Notification, Quick Replies to Text & Calls (Rose Pink)";1999;3990;50;4;30254;Electronics;WearableTechnology;SmartWatches;1991;Mid-range 500-2000;Moyen;8;0,419764286;92,9;0;Positif
B0B5DDJNH4;boAt Wave Call Smart Watch, Smart Talk with Advanced Dedicated Bluetooth Calling Chip, 1.69” HD Display with 550 NITS & 70% Color Gamut, 150+ Watch Faces, Multi-Sport Modes, HR, SpO2, IP68(Mauve);1999;7990;75;3,8;17831;Electronics;WearableTechnology;SmartWatches;5991;Mid-range 500-2000;Moyen;8;0,4213875;87,5;0;Positif
B07WDKLDRX;iQOO Neo 6 5G (Dark Nova, 8GB RAM, 128GB Storage) | Snapdragon® 870 5G | 80W FlashCharge;28999;34999;17;4,4;20311;Electronics;Mobiles&Accessories;Smartphones;6000;Luxe >10000;Bon;2;0,102975806;43,5;14,5;Positif
B09MQSCJQ1;boAt Xtend Smartwatch with Alexa Built-in, 1.69” HD Display, Multiple Watch Faces, Stress Monitor, Heart & SpO2 Monitoring, 14 Sports Modes, Sleep Monitor, 5 ATM & 7 Days Battery(Charcoal Black);2299;7990;71;4,2;69622;Electronics;WearableTechnology;SmartWatches;5691;Premium 2000-10000;Bon;8;0,217209091;63,6;18,2;Positif
B094YFFSMY;Tygot Bluetooth Extendable Selfie Sticks with Wireless Remote and Tripod Stand, 3-in-1 Multifunctional Selfie Stick with Tripod Stand Compatible with iPhone/OnePlus/Samsung/Oppo/Vivo and All Phones;399;1999;80;4;3382;Electronics;Mobiles&Accessories;SelfieSticks;1600;Budget <500;Moyen;8;0,39314;90;0;Positif
B09MT84WV5;Samsung EVO Plus 128GB microSDXC UHS-I U3 130MB/s Full HD & 4K UHD Memory Card with Adapter (MB-MC128KA), Blue;1149;3999;71;4,3;140036;Electronics;Accessories;MicroSD;2850;Mid-range 500-2000;Bon;8;0,3032;60;20;Positif
B08VS3YLRK;Portronics Adapto 20 Type C 20W Fast PD/Type C Adapter Charger with Fast Charging for iPhone 12/12 Pro/12 Mini/12 Pro Max/11/XS/XR/X/8/Plus, iPad Pro/Air/Mini, Galaxy 10/9/8 (Adapter Only) White;529;1499;65;4,1;8599;Electronics;Mobiles&Accessories;WallChargers;970;Mid-range 500-2000;Moyen;8;0,4582;70;0;Positif
B0B4F3QNDM;Samsung Galaxy M13 5G (Aqua Green, 6GB, 128GB Storage) | 5000mAh Battery | Upto 12GB RAM with RAM Plus;13999;19499;28;4,1;18998;Electronics;Mobiles&Accessories;Smartphones;5500;Luxe >10000;Moyen;8;0,212311111;63,9;11,1;Positif
B07GQD4K6L;boAt Bassheads 100 in Ear Wired Earphones with Mic(Furious Red);379;999;62;4,1;363713;Electronics;Headphones,Earbuds&Accessories;In-Ear;620;Budget <500;Moyen;8;0,440775;91,7;8,3;Positif
B07WDKLRM4;"iQOO Z6 44W by vivo (Lumina Blue, 4GB RAM, 128GB Storage) | 6.44"" FHD+ AMOLED Display | 50% Charge in just 27 mins | in-Display Fingerprint Scanning";13999;19999;30;4,1;19252;Electronics;Mobiles&Accessories;Smartphones;6000;Luxe >10000;Moyen;8;0,4426625;100;0;Positif
